post_link,likes_count,comments_count,shares_count
https://www.instagram.com/newprimagama_solobarubaki/p/DEHgDGaPnRE/,7,0,0
https://www.instagram.com/yogashala.id/reel/DD6T3-OvBsY/,22,0,0
https://www.instagram.com/imammaliki_29/p/DCsHwDRz0lh/,0,0,0
https://www.instagram.com/yogashala.id/p/DDySOuhP5Pk/,132,0,0
https://www.instagram.com/jonyrahardja/reel/DDrYIDHv27g/,449,63,0
https://www.instagram.com/hunter.kuliner/reel/DDV4q2mPfLx/,50,13,0
https://www.instagram.com/kuliner_asiksolo/reel/DC_s8AWv3mR/,469,11,0
https://www.instagram.com/devadinda/reel/DCyu-zUyVT5/,436,16,0
https://www.instagram.com/soloboska/p/DCYKenwzMsS/,4,0,0
https://www.instagram.com/soloboska/reel/DCRPnUOC9g1/,5,0,0
https://www.instagram.com/rekomendasijateng/reel/C_xIkYqJFRH/,0,12,0
https://www.instagram.com/solodelicious/p/C-mojg6Sdza/,3568,20,0
https://www.instagram.com/dahliasp/reel/C-fAGuAx7Xy/,0,57,0
https://www.instagram.com/solodelicious/reel/C-XdXlTS6dg/,413,12,0
https://www.instagram.com/kuliner.neng.solo/p/C-IAomZSEQN/,2202,14,0
https://www.instagram.com/kuliner.neng.solo/p/C9hY2UQy8BA/,1251,6,0
https://www.instagram.com/jalanjalan__kuy/reel/C9MTvgeRKSs/,2,0,0
https://www.instagram.com/kuliner.neng.solo/reel/C9Jnn7zR-rH/,603,3,0
https://www.instagram.com/petasolo/p/C9ECjojP9Cl/,627,0,0
https://www.instagram.com/infomakanenaksolo/reel/C8eohPQpjB1/,60,0,0
https://www.instagram.com/amelliasyabila/reel/C8Tt14OpGUb/,436,6,0
https://www.instagram.com/bukumenudisolo/p/C8MVuFKvUUi/,1882,2,0
https://www.instagram.com/bukumenudisolo/reel/C8DeY0xBvjn/,497,8,0
https://www.instagram.com/ery_erandi/p/C76gvTwvg_2/,0,2,0
https://www.instagram.com/infomakansolo/reel/C7gtWV4Pmse/,0,1,0
https://www.instagram.com/hijab_salsabilasolo/p/C63WBEtBd35/,3,0,0
https://www.instagram.com/pusparisti/reel/C6ptArYRtRD/,210,18,0
https://www.instagram.com/widyoagung/reel/C6hw-TdPeqA/,75,1,0
