Comment,Positive,Neutral,Negative,Sentiment,post_id
👏👏👏,0.9993628859519958,0.0001098104548873,0.0005273420829325,positive,4
@nila_riska rahasia😂😂😂,0.0005226727225817,0.000242981739575,0.9992343187332152,negative,4
@jonyrahardja kamsia ko,0.0132170477882027,0.0208288300782442,0.965954065322876,negative,4
@nila_riska enak bebeknya😂😂😂,0.994065523147583,0.0002667314256541,0.0056676943786442,positive,4
Alamatnya dimn ini?,0.0002788678684737,0.0004609142197296,0.9992602467536926,negative,4
@ambarinis9 opo iyoo say 🤭🤭,0.0118590807542204,0.9858874678611756,0.0022534185554832,neutral,4
@krist_ajjaahhh ho oh👏👏👏enak rasanya,0.9997007846832277,0.0001040491260937,0.0001952004240592,positive,4
@ambarinis9 👍👍,0.9995588660240172,0.0002090874477289,0.0002319940394954,positive,4
Rekomend & enak 👍,0.9997863173484802,6.265100091695786e-05,0.0001510435686213,positive,4
@mas_andhy23 best🔥,0.9795839190483092,0.0196419544517993,0.0007741187000647,positive,4
Parkiran mobil aman tp ko?,0.0029577047098428,0.0143276182934641,0.9827147126197816,negative,4
@liburanpertama aman pol🙌,0.9946854114532472,0.0049102930352091,0.0004042227810714,positive,4
Kok semua enakk ketokee.. Yummmi,0.9595937132835388,0.0008898677187971,0.0395164154469966,positive,4
@dhenok2323 jos tur sehat😍,0.6229028701782227,0.3033316433429718,0.0737655088305473,positive,4
"Terdebeeest ini,langganan 🤤🤤🤤",0.0046918643638491,0.9945520758628844,0.0007560478989034,neutral,4
@punya_dory_ceria wenak pol,0.1091081500053405,0.8220986127853394,0.0687932297587394,neutral,4
@jonyrahardja iyo ko...🤤🤤🤤,0.0174588654190301,0.9167026281356812,0.0658385828137397,neutral,4
"ketok enak kabeh , pen cobain 🤤",0.999460756778717,0.0002581344160716,0.0002810342411976,positive,4
@agustinaisme enak tur sehat,0.9997988343238832,8.871793397702277e-05,0.0001124829868786,positive,4
Alhamdulillah akhirnya buka dr siang juga....🔥❤️❤️,0.998127281665802,0.0012043213937431,0.0006682869279757,positive,4
@pusparisti finally yg ditunggu2 ya,0.0004038001061417,0.9993773102760316,0.0002189879596699,neutral,4
@pusparisti mantap 😍 bersyukur banget.. otw order nih kalo siang buka🔥,0.9990004897117616,0.0004679109260905,0.0005316333263181,positive,4
"Udah sempet nyobain ko, fresh bgt salad e",0.9995046854019164,0.0001808488595997,0.000314447650453,positive,4
@kokoatmadja enak beud ya,0.9992594122886658,0.0003678101929835,0.0003727442817762,positive,4
Enakjiii 🤤,0.1412801444530487,0.0012270066654309,0.8574928045272827,negative,4
@madebyandni enakk jii,0.9997150301933287,0.000120297569083,0.000164725803188,positive,4
👍,0.9996160268783568,8.293566497741267e-05,0.000300951563986,positive,4
@yauwkwokdjiang 👏🔥,0.0135570243000984,0.9850730299949646,0.0013699365081265,neutral,4
jd pgn mkn salad😮,0.0272256098687648,0.9701110124588012,0.0026634582318365,neutral,4
@traveler.noona mayo nya enak pol🙌,0.9991051554679872,0.0003743417037185,0.0005204615299589,positive,4
Rekomend banget si ini😍,0.999703586101532,6.361341365845874e-05,0.0002327438996871,positive,4
@vindamrlt te o pe be ge te,0.0003455005353316,0.9994593262672424,0.0001951363519765,neutral,4
Wahhh makanan sehat niii,0.9986138343811036,0.0001107978823711,0.0012752825859934,positive,4
@evelineaprilisa tob ini🙌,0.0011659531155601,0.995144546031952,0.0036895342636853,neutral,4
Wahhh sehat tapi enak kalo ini,0.9973424077033995,0.0001855212904047,0.0024720844812691,positive,4
@sijajanjalan my favorite,0.9637523889541626,0.0213020257651805,0.0149455480277538,positive,4
Ini enakkk banget dan recomend 🫶🏻🫶🏻🫶🏻🫶🏻🥴🥴,0.999761998653412,8.433335460722446e-05,0.0001536289637442,positive,4
@auroraaclaudya setuju 🔥,0.0071663218550384,0.9899588227272034,0.0028748894110322,neutral,4
Mantap.sueger saladnya 🔥🔥 @naniksuryanti2020,0.99949312210083,0.0002397823700448,0.0002671687107067,positive,4
@suegere.solo naknan😍,0.9180585145950316,0.0264044161885976,0.055537112057209,positive,4
Langganan iniii koo,0.558219313621521,0.0081072188913822,0.4336735308170318,positive,4
@brigittajulia wenak nan ya,0.9995754361152648,0.000152202337631,0.0002723418292589,positive,4
Yummy ko😍😍😍😍,0.999675750732422,7.944671233417466e-05,0.0002448256127536,positive,4
@idbagus7777 yummy poll,0.9991752505302428,0.000638268131297,0.0001863807119661,positive,4
Udah tau lama dari awal2 buka ko. Enak emang saladnya. Tp beberapa bulan terakhir belum kesana lagi.,0.991759955883026,0.0007130048470571,0.0075270663946866,positive,4
Wehhh enuk,0.0027698425110429,0.0001280455617234,0.9971020817756652,negative,4
@yosephinesawitri skuy cobain,0.8113178610801697,0.1876753568649292,0.0010068055707961,positive,4
Enaakk beudddddd dn sehatt,0.0134092466905713,0.9846534132957458,0.0019373623654246,neutral,4
@dekafrankie wajib bgt cobain🙌,0.999417781829834,0.0002816338965203,0.0003006268234457,positive,4
Enakkkj,0.0022158178035169,0.0001044246964738,0.9976797699928284,negative,4
@rumahkunosoloindonesia harus coba,0.0014515527291223,0.0088164508342742,0.9897319674491882,negative,4
Mwantaabbbbb,0.0009817398386076,0.0047676195390522,0.9942506551742554,negative,4
@dzanimufidah maknyuss,0.9951080679893494,0.0003783581487368,0.0045134602114558,positive,4
Favoritttt,0.0293476674705743,0.0005786480614915,0.9700736403465272,negative,4
@dahliasp tossss🙌,0.9996784925460817,0.0001137559302151,0.0002076640957966,positive,4
sukohardjo manakah?,0.0006075292476452,0.9966996312141418,0.0026928922161459,neutral,4
Dulu pernah kesini tp bukanya sore sedangkan klo sore suami ga bisa jadi kita cuma duduk bentar doank disitu wkkwkkk.. Btw seladanya mereka tanam sendiri di pekarangan rumah,0.1376472562551498,0.7427749633789062,0.1195777133107185,neutral,4
"Langganan ku ini, the besttt..",0.9987581968307496,0.0003831275389529,0.0008587049087509,positive,4
"Dah Beberapa kali ke Sana Ko, Cmn Wkt itu buka'nya sore jam 17.00 Skrg Kt'nya udh buka dr Siang. Next Gas Neh Ko... Soale Terfavo Byaat Hehehe...",0.997718095779419,0.0008648011717014,0.0014171028742566,positive,4
Recumended🙌,0.999057948589325,9.370112093165515e-05,0.0008482982520945,positive,4
"Sayang iklan saja, share loc ku datangi",0.0053091314621269,0.5762214064598083,0.418469488620758,neutral,4
Alamat nya mana,0.0179426204413175,0.011501838453114,0.9705556035041808,negative,4
Aku udah pernah kesini sama ayang 😍,0.9792754650115968,0.0146234519779682,0.0061011118814349,positive,4
udah bukak pagi ya kak sekarang..?😍,0.0001670498022576,0.0001339995942544,0.9996989965438844,negative,5
@ririn.hermawati iya kk,0.0001806314103305,0.9993926286697388,0.0004267774638719,neutral,5
@hunter.kuliner Siipp..besok gaass..😍,0.991476833820343,0.0027675996534526,0.0057555516250431,positive,5
@ririn.hermawati siapp kk langsung di gaskeennn🙌,0.015048936009407,0.9819308519363404,0.0030201021581888,neutral,5
Ini fav aku,0.996556520462036,0.0006335745565593,0.0028099864721298,positive,5
@dahliasp mantappp,0.9918285012245178,0.0066521470434963,0.0015193452127277,positive,5
Seger seger banget menu nya,0.9995105266571044,7.807144720572978e-05,0.0004113902105018,positive,5
Ini kenyang bngt wlo sayur,0.999009609222412,0.0001880490308394,0.0008023317786864,positive,5
Seger ijoo 💚💚💚,0.9991304278373718,0.0002345773100387,0.0006350885960273,positive,5
@mantan.chefs uweenakkk langsung coba ken,0.9987152814865112,0.0005801437073387,0.0007045497186481,positive,5
Yummy,0.9995859265327454,9.824429434956984e-05,0.0003158886393066,positive,5
Ki ancen tob pol,0.0001487087429268,0.0004400544858071,0.9994112253189088,negative,5
@jonyrahardja bener banget...best,0.998969316482544,0.0002687214000616,0.0007618708186782,positive,5
Wenak 😍😍,0.99968159198761,6.576209125341848e-05,0.0002526372263673,positive,6
@kliksolo TOP TENAN besti 🔥👏,0.9992295503616332,0.0005607695784419,0.0002096506214002,positive,6
Beneran enak sih 🔥🔥,0.9996453523635864,7.731041841907427e-05,0.0002773301384877,positive,6
@zilizi16 TOP DI KELASNYA 🔥👏,0.9982789754867554,0.0008979164995253,0.0008231349056586,positive,6
Kesini yok 😢 @zilizi16,0.0001098951615858,0.0002188423095503,0.999671220779419,negative,6
@delia_arimurti benjir gassss sih,0.0006391495699062,0.0001922884548548,0.9991686344146729,negative,6
Uenak nya,0.9995272159576416,7.984108378877863e-05,0.0003929582017008,positive,6
@kedaisembako_tbalai cuss kak cobain,0.9972781538963318,0.0020576061215251,0.000664172344841,positive,6
Sehat teninnn cocok buat diet,0.9995927214622498,0.0001333832042291,0.0002739697520155,positive,6
@jonyrahardja bener banget ko 😍👏,0.9970530271530152,0.0004276121908333,0.0025192936882376,positive,6
Cocok nih 😍,0.9994655251502992,6.626747199334204e-05,0.0004682238504756,positive,6
"Sdh Beberapa Kali ke Sana, Cmn Sayang'nya buka'nya Sore. Berharap Buka dr Siang 🤭",0.990764856338501,0.005564578808844,0.0036705194506794,positive,7
@desi3_dt Yess!!! Hehehe...,0.0017969211330637,0.0003023038734681,0.9979007244110109,negative,7
@mimijelitaimut mulai hari ini kami buka mulai jam 10.30 -21.00 ya kaa.....silakan,0.000144201942021,0.9996020197868348,0.0002538178232498,neutral,7
"@sebelasrasa Wuizz... Bneran, Alhmdlillah Soal'nya klo Siang Aq sll Maen ke Daerah Soba. Next Pasti Gas Bt Mkn Siang. Mksh ya Ka' Atas Info'nya 👍🙏",0.9966163039207458,0.0014899228699505,0.001893711509183,positive,7
"Menunya Enak2 dan semua fresh🫶🏻, aku sudah pernah nyoba.. yang punya bocil ada playgroundnya juga❤️",0.9997009038925172,0.0001624994329176,0.0001366181386401,positive,7
Wah penasaran pol save dlu,0.0004242516006343,0.0007556016207672,0.9988201260566713,negative,7
"@rachelanggraini_ enak mbaa, harus coba",0.9256303906440736,0.0545375682413578,0.01983193308115,positive,7
spill harga2 kk,0.0135399978607892,0.9838400483131408,0.0026199640706181,neutral,7
@putri.arms salad start 22-30k kak tergantung topping apa,0.0004757087153848,0.999377429485321,0.0001469325798097,neutral,7
Enak semuanya🤤,0.0873694121837616,0.0015039140125736,0.9111267328262328,negative,7
The bestt...udh pernah nyobain❤️,0.9996775388717652,0.0001790574315236,0.0001434028527,positive,7
Salad nya best,0.9977474808692932,0.000914352829568,0.0013382375473156,positive,7
Ngiler,0.0011015119962394,0.00013478929759,0.9987636804580688,negative,7
@dininnnn_ 😮😮,0.0199557356536388,0.0057163755409419,0.9743278622627258,negative,7
@dininnnn_ 😮😮,0.0199557356536388,0.0057163755409419,0.9743278622627258,negative,7
@sholut_169,0.0002630670787766,0.0002330363058717,0.9995038509368896,negative,7
Baguss banget tempatnyaaa🔥,0.9998123049736024,6.0629819927271456e-05,0.0001271108194487,positive,10
Enak 😍,0.0227010939270257,0.0002850430028047,0.977013885974884,negative,10
Syahduu kak 😍🍃,0.999657392501831,0.0001050298815243,0.0002375817857682,positive,10
Kepoooooo deh,0.9982919096946716,0.0002811117155943,0.0014269417151808,positive,10
Ini enakkk bgt,0.9993979930877686,7.400140748359263e-05,0.0005279755569063,positive,10
Ketok enak ki🔥🔥,0.9996830224990844,8.176419942174107e-05,0.0002352762676309,positive,10
"Pernah kesini, porsinya uakeh pol",0.9109567403793336,0.0821364149451255,0.0069068362936377,positive,10
Baru tau ada resto salad,0.9937706589698792,0.0004942028899677,0.0057350439019501,positive,10
Wahhh mantapppp🔥😍,0.9995892643928528,9.311491885455324e-05,0.0003177166217938,positive,10
@arifkurr @endahaibara pgn kesini 🤭,0.000384515908081,0.9993535876274108,0.0002618479484226,neutral,10
@dyah_ummu_jundi ayook,0.0013707098551094,0.9762853384017944,0.022343847900629,neutral,10
@maaaratuss,0.937620997428894,0.0552261807024478,0.0071528600528836,positive,10
Endesss ini mah......rasa yg patut dicobaaa,0.999514937400818,0.0001629011385375,0.0003221498336642,positive,11
"tanya dulu ya, misal viral terus ramai, jaminan kualitas rasanya sama ndk ya? yg sudah2 sih viral terus asal aja masaknya, jadi cm numpang lewat saja bukan menjadi langganan dikemudian hari",0.0005174478283151,0.000268113479251,0.9992144107818604,negative,11
Owner nya baik 😊,0.9972320199012756,0.0003954908752348,0.0023724404163658,positive,11
"Sepertinya mak nyus, tapi sayang rame nya gak karuan ya ? mikir2 lagi berarti 😅",0.0028000411111861,0.0002763298980426,0.9969236254692078,negative,11
50 meter dari rumah orang tuaku ini😮,0.0009946669451892,0.9983310103416444,0.0006742767291143,neutral,11
Recommended 👍👍,0.9996436834335328,7.865501538617536e-05,0.0002776102046482,positive,11
Dimana bro lokasi nya gua tertarik ni,0.922332763671875,0.0611417107284069,0.0165255814790725,positive,11
Info kak @sutarto_dwis,0.0005251931142993,0.99935120344162,0.0001236128009622,neutral,11
Mampir ke @bakmi_pakbagongbaturan .itu jg teras rumah di sulap jd warung bakmi🔥,0.0032798219472169,0.9964218139648438,0.0002984150778502,neutral,11
@novitacahyani201,0.0003902059979736,0.9994691014289856,0.0001407674426445,neutral,11
"Worth it bgt ini. Porsinya buat saya yg lagi pengen bulky, pas bgt porsinya. Nasinya ga terlalu byk, lebih banyak lauknya ketimbang nasinya. Harga sesuai bgtlah pokoknya. TOP!! @sebelasrasa",0.999642848968506,0.0001208694884553,0.0002363338717259,positive,11
@hendra_nc wait! Saya ga diendorse hlo ya gaes. Real testimonial ini.,0.0064091775566339,0.0279384907335042,0.9656522870063782,negative,11
@hallo_11178,0.7268037796020508,0.0217814687639474,0.2514147758483886,positive,11
@aghofur88 hooh kak wes reti aku kui metu ng berandaku,0.0001833461137721,0.0007244652952067,0.9990922212600708,negative,11
@dinda_mamaditan,0.0001973578619072,0.999619483947754,0.0001831925183068,neutral,11
"@ririowll iki nggone budi ,woll @budi_tiara",0.0011864233529195,0.9808953404426576,0.0179183278232812,neutral,11
@m.taufikhimawan hayukkkkk ksana...,0.0066713988780975,0.9819325804710388,0.0113960495218634,neutral,11
@keyzhaalyc_,0.973899245262146,0.021698048338294,0.0044027082622051,positive,11
Ning ndesomu iki @tesalonika_marta,0.0002886391011998,0.9962115287780762,0.0034999372437596,neutral,11
Suara,0.0083709368482232,0.0009508482180535,0.9906781911849976,negative,11
Wajib cobaaaa🙌,0.999573290348053,8.572303340770304e-05,0.0003410791105125,positive,12
@miyanatara iya kak kids friendly,0.0064780442044138,0.9930548071861268,0.0004671360657084,neutral,12
Kok enakkk keliatannyaaaa😍,0.9968984127044678,8.646974310977384e-05,0.0030151014216244,positive,12
@meitadinaiff beneran enakkk😍,0.9997809529304504,6.567536183865741e-05,0.0001534077164251,positive,12
Bikin ngiler makanannya😍,0.99314945936203,0.0006800880073569,0.0061704493127763,positive,12
@nyuun2 siniii main solo🔥,0.0049660219810903,0.992068886756897,0.0029651122167706,neutral,12
woww makanannya enak2 nih 😍,0.9997913241386414,6.753793422831222e-05,0.0001411618723068,positive,12
@_ataaaaa salad sayur nya bestt ini😍👏,0.999697208404541,0.000117958355986,0.0001848339597927,positive,12
enaaaak nihh😍,0.9974203109741212,0.0002270324621349,0.0023526616860181,positive,12
Mauu cobaaaa🤤🤤,0.999685525894165,8.161886944435537e-05,0.0002328145055798,positive,12
@karinaisty.k referensi salad date😂,0.0011751719284802,0.996020495891571,0.0028043559286743,neutral,12
Aaa salpok porsinyaa bisa buat sharing nihh,0.9970924854278564,0.0015215505845844,0.0013859577011317,positive,12
@mfth_nd iyups mana gk pahit samsek👏,0.9963799118995668,0.0023565064184367,0.0012635056627914,positive,12
Jadii pengenn cobaaa😍,0.9809881448745728,0.0002885536814574,0.0187233723700046,positive,12
@ronaadzkiasyaa gas yuu ka👏,0.9936827421188354,0.0053738676942884,0.000943380582612,positive,12
Manttaaappp😍,0.9997040629386902,7.994313637027517e-05,0.0002159704454243,positive,12
@yetinurfa sini kesolo kaaaa,0.7450927495956421,0.0010589220328256,0.2538483142852783,positive,12
mau saladnyaa 🤤🤤,0.998305320739746,0.0006693421746604,0.0010253791697323,positive,12
Porsinya byk bgt ini,0.3770417273044586,0.0010209702886641,0.6219373941421509,negative,12
@liburanpertama dan murah👏,0.9997703433036804,9.482420864515008e-05,0.0001348326768493,positive,12
"Effort kesini, harganya terjangkau, enak dan porsinya banyakk",0.9997861981391908,0.0001030142448144,0.000110823806608,positive,12
"@manganterus.le iyakan mas, enak lagi",0.9272337555885316,0.0314659588038921,0.0413002297282218,positive,12
Enak niiii,0.0007156152860261,7.901018398115411e-05,0.9992054104804992,negative,12
@novelinakusuma_ setuju❤️,0.0023625229950994,0.9971078038215636,0.0005296531016938,neutral,12
Menggoda lidah,0.0011934605427086,0.0002572755038272,0.9985492825508118,negative,12
@sintadhilaaaa kalap😂,0.0140158608555793,0.0018213716102764,0.9841628074645996,negative,12
Salad nya keliahan fresh pol😍,0.9988357424736024,0.0002535259991418,0.0009107355726882,positive,12
"@mbakbulee iya bener ka, fresh langsung dri petani sekitar kampung😍",0.9462310671806335,0.0376934297382831,0.0160754676908254,positive,12
Bar2 amat porsinya 🤤,0.9994117021560668,0.0001394160353811,0.0004488590057007,positive,12
@madebyandni murah juga kaaa,0.9996955394744872,0.0001229695626534,0.0001815106661524,positive,12
Hidden gems ya ini,0.912629246711731,0.0019568253774195,0.0854138731956482,positive,12
